item,status,category,component,recommended_model,specs,quantity,notes
1,Required / acquired,Slip ring,Industrial slip ring,Capsule slip ring,"4-channel, >=5A/channel, >=240V",1,"CH1/CH2 for 220V L/N, CH3/CH4 for motor low-voltage channel"
2,Required / existing,Controller,ESP32 development board,ESP32 DevKit / WROOM-32,"3.3V logic, WiFi",1,Main controller in lower tray or external control box
3,Required / existing,Motor drive,H-bridge motor driver,DRV8871 module,"24V input, >=3A peak preferred",1,IN1/IN2 PWM motor driver
4,Required / existing,Actuator,DC gear motor,JGB37-520,"24V, ~45 RPM, 6mm shaft",1,Fixed on upper 800mm tray
5,Required / existing,Power,DC power supply,Generic adapter,24V / 2A,1,External motor/control supply
6,Required / existing,Power,Buck converter,Mini 560,24V to 5V/3A,1,Powers ESP32 VIN/5V rail
7,Required,Connector,DC barrel jack,5.5 x 2.1mm,Panel or PCB mount,1,24V input
8,Required,Protection,Resettable fuse or fuse holder,MF-R110 or 2A fuse,"~1.1A hold / 2.2A trip, or replaceable 2A",1,500mA hold may trip too easily with friction load
9,Required,Protection,TVS diode,SMBJ24A,24V bidirectional,1,Surge suppression
10,Required,Power,Bulk capacitor,Nichicon UPW or equivalent,"1000uF / 35V, 105C",1,Near DRV8871 VM/GND
11,Required,Power,Ceramic decoupling capacitor,X7R ceramic,0.1uF / 100V,2,24V high-frequency decoupling
12,Required,Wiring,Wire,Red/black copper wire,>=0.75mm2,1 set,Use separate colors/bundles for 220V and low voltage
13,Required,Insulation,Heat shrink tubing,4mm / 8mm / mixed,High-temperature preferred,1 set,Insulation and strain relief
14,Recommended,Connector,Terminal block / connector,KF301 / XT30 / locking connector,Rated for current and voltage,1 set,Serviceable wiring
M1,Required,Mechanical,Friction wheel,Rubber / silicone wheel,"20-35mm diameter, 8-15mm width",1-2,High-friction heat-tolerant wheel
M2,Required,Mechanical,Motor bracket,JGB37 bracket,Metal bracket,1,Fixes motor to underside of upper tray
M3,Required,Mechanical,Fasteners,M3/M2 screws and washers,Short screws and spring washers,1 set,Use threadlocker where vibration exists
M4,Recommended,Mechanical,Height shims / elastic pad,Silicone pad / spring shim,0.5-2mm adjustment,1 set,Sets friction wheel contact pressure
M5,Recommended,Mechanical,Cable bridge / ramp,TPU / silicone / rubber,"150-180mm long, <=8-10 degree slope",1+,Only if cables cannot avoid friction-wheel path
M6,Recommended,Mechanical,Anti-slip strip,Rubber tape,Heat-tolerant,1 set,For ramp surface if needed
M7,Recommended,Insulation,Mica insulation board,Mica sheet,"0.5-1mm, cuttable, >=500C",1-2,Local heat insulation near motor/bracket/wiring
I1,Required,Indicator,Blue status LED,5mm or panel LED,"Blue, high-brightness",1,First-build visible status indicator
I2,Required,Indicator,LED resistor,330Ω,1/4W,1,GPIO2 to blue LED
I3,Recommended / reserved,Indicator,Red LED,5mm or panel LED,Red,1,Fault indicator expansion
I4,Recommended / reserved,Indicator,Green LED,5mm or panel LED,Green,1,Normal/network indicator expansion
I5,Recommended / reserved,Indicator,Yellow LED,5mm or panel LED,Yellow,1,Warning/config/self-test indicator expansion
I6,Recommended / reserved,Indicator,LED resistors,330Ω or 470Ω,1/4W,3,One per reserved discrete LED
I7,Optional / reserved,Indicator,Addressable RGB LED,WS2812B,5V data LED,1,Future RGB status light
I8,Optional / reserved,Indicator,RGB data resistor,330Ω,1/4W,1,GPIO32 to DIN
I9,Optional / reserved,Indicator,RGB bulk capacitor,Electrolytic,1000uF / >=6.3V,1,Across 5V/GND near WS2812B
I10,Required,Alert,Passive buzzer,12mm passive buzzer,3-5V,1,Multi-tone alerts via PWM
I11,Required,Alert,NPN transistor,S8050,TO-92,1,Buzzer low-side driver
I12,Required,Alert,Base resistor,1kΩ,1/4W,1,ESP32 GPIO to S8050 base
I13,Recommended,Alert,Base pulldown resistor,100kΩ,1/4W,1,Prevents boot-time false beep
I14,Recommended,Alert,Flyback diode,1N4148 / 1N4007,For magnetic buzzer,1,Optional for piezo
S1,Recommended,Sensor,Current sensor,INA226 module,>=36V high-side current/voltage sensor I2C,1,Preferred over INA219 for 24V systems
S2,Optional,Sensor,I2C pull-up resistor,4.7kΩ,1/4W,2,Only if module lacks pull-ups
S3,Recommended,Sensor,Voltage divider high resistor,100kΩ,"1%, 1/4W",1,24V_PROT to ADC node
S4,Recommended,Sensor,Voltage divider low resistor,10kΩ,"1%, 1/4W",1,ADC node to GND
S5,Recommended,Sensor,ADC series resistor,1kΩ,1/4W,1,ADC node to GPIO34
S6,Recommended,Sensor,ADC filter capacitor,X7R ceramic,0.1uF / 50V,1,ADC node to GND
F1,Future / reserved,Sensor,Temperature sensor,DS18B20 waterproof probe,-55C to 125C,1-2,Future 6+ channel slip ring or external sensor path
F2,Future / reserved,Sensor,Temp sensor pull-up,4.7kΩ,1/4W,1,For DS18B20 data line
F3,Future / reserved,Sensor,Humidity sensor,SHT31 / SHT35 module,I2C,1,Place away from heater
F4,Future / reserved,Sensor,Leak/water sensor,Waterproof probe / leak board,Digital or analog,1,Requires safe low-voltage routing
F5,Not planned now,Sensor,Hall sensor,AH3144 + magnet,Digital Hall switch,0,Not practical for all faces and upper side near heating wire
D1,Deprecated / do not purchase,Display,3-digit 7-segment display,Common-anode module,5V LED display,0,Not visible and deprecated
D2,Deprecated / do not purchase,Display,Display driver transistor set,2N5401/S8050,For old display high-side drive,0,Deprecated display only
D3,Deprecated / do not purchase,Display,Segment resistors,220Ω,1/4W,0,Deprecated display only
D4,Deprecated / do not purchase,Display,Display driver IC,MIC2981 / UDN2981,8-channel high-side driver,0,Deprecated display only
